angle,angle_d,real_height,ref_height,distort,scalars
43,35.3082555738698,2.07096446,2.726707,-23.90723298,1.31663630770371
43.1,35.3636128751789,2.07520962,2.736263,-24.0175643,1.31854776193645
43.2,35.4188408791409,2.07945067,2.745851,-24.12814204,1.32046941031787
43.3,35.4739394685613,2.08368758,2.755471,-24.2389661,1.32240122101222
43.4,35.5289087878283,2.08792034,2.765122,-24.35003641,1.32434267104271
43.5,35.5837491115225,2.09214895,2.774805,-24.46135289,1.32629419143412
43.6,35.6384604552536,2.09637339,2.784521,-24.57291547,1.32825622252341
43.7,35.6930429651603,2.10059365,2.794268,-24.68472406,1.33022776680297
43.8,35.7474966588764,2.10480971,2.804049,-24.79677859,1.33221021676112
43.9,35.8018219419759,2.10902158,2.813862,-24.90907898,1.33420256420515
44,35.8560185755834,2.11322922,2.823708,-25.02162514,1.33620526030773
44.1,35.9100869661784,2.11743264,2.833587,-25.13441701,1.33821824905844
44.2,35.9640272626297,2.12163183,2.8435,-25.24745449,1.34024195894535
44.3,36.0178393579425,2.12582676,2.853446,-25.36073751,1.342275887053
44.4,36.0715235310802,2.13001743,2.863426,-25.47426598,1.34432045469224
44.5,36.1250798051216,2.13420382,2.873441,-25.58803983,1.34637609260769
44.6,36.178508459669,2.13838593,2.88349,-25.70205898,1.34844228048208
44.7,36.2318095191213,2.14256374,2.893574,-25.81632333,1.35051944825688
44.8,36.2849832636862,2.14673725,2.903692,-25.93083281,1.3526070784862
44.9,36.3380295918983,2.15090643,2.913846,-26.04558734,1.35470607152353
45,36.3909486580808,2.15507127,2.924035,-26.16058683,1.35681591634786
45.1,36.4437408706062,2.15923178,2.934259,-26.2758312,1.35893655659329
45.2,36.4964060037527,2.16338792,2.94452,-26.39132037,1.36106889235103
45.3,36.5489444665843,2.1675397,2.954817,-26.50705425,1.36321240159984
45.4,36.6013562883483,2.1716871,2.96515,-26.62303275,1.36536704574061
45.5,36.6536414993892,2.1758301,2.975519,-26.7392558,1.3675327866822
45.6,36.7058003830265,2.1799687,2.985926,-26.8557233,1.36971049171486
45.7,36.7578330965152,2.18410289,2.99637,-26.97243517,1.37189965441601
45.8,36.8097395462879,2.18823264,3.006851,-27.08939132,1.37410024191943
45.9,36.8615200168162,2.19235795,3.01737,-27.20659168,1.37631265916225
46,36.9131746669947,2.19647881,3.027927,-27.32403614,1.37853685918327
46.1,36.9647036560772,2.20059521,3.038522,-27.44172462,1.38077279555653
46.2,37.0161070187432,2.20470713,3.049155,-27.55965705,1.38302042865893
46.3,37.0673849154479,2.20881456,3.059828,-27.67783331,1.3852806185776
46.4,37.1185375069804,2.21291749,3.070539,-27.79625334,1.38755241163556
46.5,37.1695648300348,2.2170159,3.08129,-27.91491703,1.38983667189757
46.6,37.2204671708013,2.22110979,3.09208,-28.03382431,1.39213289407004
46.7,37.2712445669373,2.22519914,3.10291,-28.15297507,1.39444148805486
46.8,37.3218971809903,2.22928394,3.113781,-28.27236924,1.39676285471289
46.9,37.3724250520491,2.23336417,3.124692,-28.39200671,1.39909650292276
